,trial,block,s1,s2,connected,response,accuracy,rt,counter,id,condition
0,0,0,./static/experiments/de2/materials/stim_files/3.png,./static/experiments/de2/materials/stim_files/11.png,1,yes,0,6066,1.0,42,1
1,1,0,./static/experiments/de2/materials/stim_files/15.png,./static/experiments/de2/materials/stim_files/7.png,1,no,1,3642,1.0,42,1
2,2,0,./static/experiments/de2/materials/stim_files/13.png,./static/experiments/de2/materials/stim_files/5.png,1,no,1,1805,1.0,42,1
3,3,0,./static/experiments/de2/materials/stim_files/12.png,./static/experiments/de2/materials/stim_files/11.png,0,yes,1,2465,1.0,42,1
4,4,0,./static/experiments/de2/materials/stim_files/9.png,./static/experiments/de2/materials/stim_files/1.png,1,no,1,1069,1.0,42,1
5,5,0,./static/experiments/de2/materials/stim_files/11.png,./static/experiments/de2/materials/stim_files/3.png,1,no,1,2291,1.0,42,1
6,6,0,./static/experiments/de2/materials/stim_files/5.png,./static/experiments/de2/materials/stim_files/13.png,1,no,1,1564,1.0,42,1
7,7,0,./static/experiments/de2/materials/stim_files/6.png,./static/experiments/de2/materials/stim_files/7.png,0,yes,1,1145,1.0,42,1
8,8,0,./static/experiments/de2/materials/stim_files/8.png,./static/experiments/de2/materials/stim_files/16.png,1,no,1,1448,1.0,42,1
9,9,0,./static/experiments/de2/materials/stim_files/14.png,./static/experiments/de2/materials/stim_files/13.png,0,yes,1,1105,1.0,42,1
10,10,0,./static/experiments/de2/materials/stim_files/2.png,./static/experiments/de2/materials/stim_files/10.png,1,no,1,1063,1.0,42,1
11,11,0,./static/experiments/de2/materials/stim_files/14.png,./static/experiments/de2/materials/stim_files/15.png,0,yes,1,958,1.0,42,1
12,12,0,./static/experiments/de2/materials/stim_files/10.png,./static/experiments/de2/materials/stim_files/11.png,0,yes,1,1533,1.0,42,1
13,13,0,./static/experiments/de2/materials/stim_files/16.png,./static/experiments/de2/materials/stim_files/8.png,1,no,1,974,1.0,42,1
14,14,0,./static/experiments/de2/materials/stim_files/14.png,./static/experiments/de2/materials/stim_files/6.png,1,no,1,886,1.0,42,1
15,15,0,./static/experiments/de2/materials/stim_files/10.png,./static/experiments/de2/materials/stim_files/9.png,0,yes,1,944,1.0,42,1
16,16,0,./static/experiments/de2/materials/stim_files/14.png,./static/experiments/de2/materials/stim_files/6.png,1,no,1,861,1.0,42,1
17,17,0,./static/experiments/de2/materials/stim_files/6.png,./static/experiments/de2/materials/stim_files/5.png,0,no,0,789,1.0,42,1
18,18,0,./static/experiments/de2/materials/stim_files/7.png,./static/experiments/de2/materials/stim_files/15.png,1,no,1,1492,1.0,42,1
19,19,0,./static/experiments/de2/materials/stim_files/1.png,./static/experiments/de2/materials/stim_files/2.png,0,yes,1,1768,1.0,42,1
20,20,0,./static/experiments/de2/materials/stim_files/12.png,./static/experiments/de2/materials/stim_files/4.png,1,no,1,1799,1.0,42,1
21,21,0,./static/experiments/de2/materials/stim_files/7.png,./static/experiments/de2/materials/stim_files/8.png,0,yes,1,984,1.0,42,1
22,22,0,./static/experiments/de2/materials/stim_files/5.png,./static/experiments/de2/materials/stim_files/4.png,0,yes,1,861,1.0,42,1
23,23,0,./static/experiments/de2/materials/stim_files/12.png,./static/experiments/de2/materials/stim_files/4.png,1,no,1,830,1.0,42,1
24,24,0,./static/experiments/de2/materials/stim_files/4.png,./static/experiments/de2/materials/stim_files/3.png,0,yes,1,901,1.0,42,1
25,25,0,./static/experiments/de2/materials/stim_files/1.png,./static/experiments/de2/materials/stim_files/9.png,1,no,1,934,1.0,42,1
26,26,0,./static/experiments/de2/materials/stim_files/12.png,./static/experiments/de2/materials/stim_files/13.png,0,yes,1,934,1.0,42,1
27,27,0,./static/experiments/de2/materials/stim_files/16.png,./static/experiments/de2/materials/stim_files/15.png,0,yes,1,1024,1.0,42,1
28,28,0,./static/experiments/de2/materials/stim_files/9.png,./static/experiments/de2/materials/stim_files/8.png,0,yes,1,903,1.0,42,1
29,29,0,./static/experiments/de2/materials/stim_files/2.png,./static/experiments/de2/materials/stim_files/3.png,0,yes,1,943,1.0,42,1
30,30,0,./static/experiments/de2/materials/stim_files/10.png,./static/experiments/de2/materials/stim_files/2.png,1,no,1,853,1.0,42,1
31,0,0,./static/experiments/de2/materials/stim_files/13.png,./static/experiments/de2/materials/stim_files/5.png,,,,9,,131,2
32,1,0,./static/experiments/de2/materials/stim_files/2.png,./static/experiments/de2/materials/stim_files/10.png,,,,5516,,131,2
33,2,0,./static/experiments/de2/materials/stim_files/15.png,./static/experiments/de2/materials/stim_files/7.png,,,,2748,,131,2
34,3,0,./static/experiments/de2/materials/stim_files/8.png,./static/experiments/de2/materials/stim_files/16.png,,,,2202,,131,2
35,4,0,./static/experiments/de2/materials/stim_files/9.png,./static/experiments/de2/materials/stim_files/1.png,,,,2220,,131,2
36,5,0,./static/experiments/de2/materials/stim_files/11.png,./static/experiments/de2/materials/stim_files/3.png,,,,2340,,131,2
37,6,0,./static/experiments/de2/materials/stim_files/16.png,./static/experiments/de2/materials/stim_files/8.png,,,,2171,,131,2
38,7,0,./static/experiments/de2/materials/stim_files/3.png,./static/experiments/de2/materials/stim_files/11.png,,,,2226,,131,2
39,8,0,./static/experiments/de2/materials/stim_files/13.png,./static/experiments/de2/materials/stim_files/5.png,,,,2172,,131,2
40,9,0,./static/experiments/de2/materials/stim_files/12.png,./static/experiments/de2/materials/stim_files/4.png,,,,2149,,131,2
41,10,0,./static/experiments/de2/materials/stim_files/1.png,./static/experiments/de2/materials/stim_files/9.png,,,,2154,,131,2
42,11,0,./static/experiments/de2/materials/stim_files/14.png,./static/experiments/de2/materials/stim_files/6.png,,,,2108,,131,2
43,12,0,./static/experiments/de2/materials/stim_files/10.png,./static/experiments/de2/materials/stim_files/2.png,,,,2170,,131,2
44,13,0,./static/experiments/de2/materials/stim_files/14.png,./static/experiments/de2/materials/stim_files/6.png,,,,2063,,131,2
45,14,0,./static/experiments/de2/materials/stim_files/12.png,./static/experiments/de2/materials/stim_files/4.png,,,,2136,,131,2
46,15,0,./static/experiments/de2/materials/stim_files/15.png,./static/experiments/de2/materials/stim_files/7.png,,,,2117,,131,2
47,0,1,./static/experiments/de2/materials/stim_files/15.png,./static/experiments/de2/materials/stim_files/7.png,,,,2067,,131,2
48,1,1,./static/experiments/de2/materials/stim_files/13.png,./static/experiments/de2/materials/stim_files/5.png,,,,2072,,131,2
49,2,1,./static/experiments/de2/materials/stim_files/9.png,./static/experiments/de2/materials/stim_files/1.png,,,,7515,,131,2
50,3,1,./static/experiments/de2/materials/stim_files/14.png,./static/experiments/de2/materials/stim_files/6.png,,,,2025,,131,2
51,4,1,./static/experiments/de2/materials/stim_files/13.png,./static/experiments/de2/materials/stim_files/5.png,,,,2002,,131,2
52,5,1,./static/experiments/de2/materials/stim_files/1.png,./static/experiments/de2/materials/stim_files/9.png,,,,4322,,131,2
53,6,1,./static/experiments/de2/materials/stim_files/6.png,./static/experiments/de2/materials/stim_files/14.png,,,,2969,,131,2
54,7,1,./static/experiments/de2/materials/stim_files/11.png,./static/experiments/de2/materials/stim_files/3.png,,,,2092,,131,2
55,8,1,./static/experiments/de2/materials/stim_files/8.png,./static/experiments/de2/materials/stim_files/16.png,,,,2069,,131,2
56,9,1,./static/experiments/de2/materials/stim_files/10.png,./static/experiments/de2/materials/stim_files/2.png,,,,2071,,131,2
57,10,1,./static/experiments/de2/materials/stim_files/4.png,./static/experiments/de2/materials/stim_files/12.png,,,,2026,,131,2
