id,phase,condition,block,trial,stim_id,category,response,isCorrect,rt,_,__
id-34,classification_train,3,0,0,i-15,Versicolor,Setosa,False,1.2427231940673664,na,na
id-34,classification_train,3,0,1,i-14,Versicolor,Versicolor,True,0.7248307927511632,na,na
id-34,classification_train,3,0,2,i-0,Setosa,Versicolor,False,0.2339188546175137,na,na
id-34,classification_train,3,0,3,i-3,Setosa,Setosa,True,0.535852670785971,na,na
id-34,classification_train,3,0,4,i-12,Versicolor,Versicolor,True,1.6626432351768017,na,na
id-34,classification_train,3,0,5,i-11,Versicolor,Setosa,False,0.0001834100112318993,na,na
id-34,classification_train,3,0,6,i-2,Setosa,Versicolor,False,1.5230212582973763,na,na
id-34,classification_train,3,0,7,i-1,Setosa,Setosa,True,1.0304569754516706,na,na
id-34,classification_train,3,0,8,i-6,Setosa,Versicolor,False,0.4737713851500303,na,na
id-34,classification_train,3,0,9,i-9,Versicolor,Setosa,False,0.10998869081959127,na,na
id-34,classification_train,3,0,10,i-5,Setosa,Versicolor,False,4.210734381340444,na,na
id-34,classification_train,3,0,11,i-8,Versicolor,Versicolor,True,2.1745648813666776,na,na
id-34,classification_train,3,0,12,i-13,Versicolor,Versicolor,True,0.28440624836366624,na,na
id-34,classification_train,3,0,13,i-4,Setosa,Setosa,True,2.113711515441537,na,na
id-34,classification_train,3,0,14,i-7,Setosa,Versicolor,False,0.000247636460699141,na,na
id-34,classification_train,3,0,15,i-10,Versicolor,Setosa,False,0.5153607481624931,na,na
id-34,classification_train,3,1,16,i-9,Versicolor,Versicolor,True,0.014990617637522519,na,na
id-34,classification_train,3,1,17,i-2,Setosa,Versicolor,False,0.00024829863104969263,na,na
id-34,classification_train,3,1,18,i-8,Versicolor,Setosa,False,0.8377182875992729,na,na
id-34,classification_train,3,1,19,i-11,Versicolor,Versicolor,True,1.365262554376386,na,na
id-34,classification_train,3,1,20,i-5,Setosa,Setosa,True,1.8111917143687608,na,na
id-34,classification_train,3,1,21,i-4,Setosa,Setosa,True,0.5519053445896134,na,na
id-34,classification_train,3,1,22,i-3,Setosa,Setosa,True,0.4539084857096896,na,na
id-34,classification_train,3,1,23,i-10,Versicolor,Setosa,False,0.6786512151593342,na,na
id-34,classification_train,3,1,24,i-6,Setosa,Setosa,True,1.5086993917357177,na,na
id-34,classification_train,3,1,25,i-12,Versicolor,Versicolor,True,0.4678913418902084,na,na
id-34,classification_train,3,1,26,i-1,Setosa,Versicolor,False,0.9026718921959399,na,na
id-34,classification_train,3,1,27,i-0,Setosa,Setosa,True,0.03178388345986605,na,na
id-34,classification_train,3,1,28,i-15,Versicolor,Versicolor,True,0.5585196897154674,na,na
id-34,classification_train,3,1,29,i-7,Setosa,Versicolor,False,1.1297681619180366,na,na
id-34,classification_train,3,1,30,i-14,Versicolor,Versicolor,True,0.8177388533949852,na,na
id-34,classification_train,3,1,31,i-13,Versicolor,Versicolor,True,0.2121731893857941,na,na
id-34,classification_train,3,2,32,i-3,Setosa,Setosa,True,0.7388411272550002,na,na
id-34,classification_train,3,2,33,i-5,Setosa,Setosa,True,0.6523620154475793,na,na
id-34,classification_train,3,2,34,i-0,Setosa,Versicolor,False,0.8444534714799374,na,na
id-34,classification_train,3,2,35,i-8,Versicolor,Setosa,False,0.5921886566793546,na,na
id-34,classification_train,3,2,36,i-6,Setosa,Setosa,True,0.7875182582065463,na,na
id-34,classification_train,3,2,37,i-1,Setosa,Versicolor,False,3.5121765661751847,na,na
id-34,classification_train,3,2,38,i-11,Versicolor,Setosa,False,0.3994065993465483,na,na
id-34,classification_train,3,2,39,i-2,Setosa,Setosa,True,0.039358647889457636,na,na
id-34,classification_train,3,2,40,i-10,Versicolor,Versicolor,True,0.202755055623129,na,na
id-34,classification_train,3,2,41,i-4,Setosa,Versicolor,False,0.25823358341585845,na,na
id-34,classification_train,3,2,42,i-7,Setosa,Versicolor,False,0.7141797735821456,na,na
id-34,classification_train,3,2,43,i-15,Versicolor,Versicolor,True,0.00024962297175079584,na,na
id-34,classification_train,3,2,44,i-13,Versicolor,Versicolor,True,0.30132631200831383,na,na
id-34,classification_train,3,2,45,i-9,Versicolor,Setosa,False,0.2045143344439566,na,na
id-34,classification_train,3,2,46,i-14,Versicolor,Versicolor,True,0.52524932497181,na,na
id-34,classification_train,3,2,47,i-12,Versicolor,Versicolor,True,0.16129381477367133,na,na
id-34,classification_train,3,3,48,i-2,Setosa,Setosa,True,1.0898973565781491,na,na
id-34,classification_train,3,3,49,i-3,Setosa,Setosa,True,0.4868901619920507,na,na
id-34,classification_train,3,3,50,i-1,Setosa,Setosa,True,0.6982664781389758,na,na
id-34,classification_train,3,3,51,i-13,Versicolor,Versicolor,True,0.0002598859136924148,na,na
id-34,classification_train,3,3,52,i-5,Setosa,Setosa,True,0.4861750619020313,na,na
id-34,classification_train,3,3,53,i-7,Setosa,Versicolor,False,0.9246923413593322,na,na
id-34,classification_train,3,3,54,i-15,Versicolor,Versicolor,True,0.21979860658757389,na,na
id-34,classification_train,3,3,55,i-12,Versicolor,Setosa,False,1.0016794920666143,na,na
id-34,classification_train,3,3,56,i-0,Setosa,Setosa,True,0.3209415749879554,na,na
id-34,classification_train,3,3,57,i-10,Versicolor,Setosa,False,0.0001764575717970729,na,na
id-34,classification_train,3,3,58,i-14,Versicolor,Versicolor,True,0.00024896080140024424,na,na
id-34,classification_train,3,3,59,i-9,Versicolor,Setosa,False,0.3115525750909001,na,na
id-34,classification_train,3,3,60,i-4,Setosa,Versicolor,False,0.21040298533625898,na,na
id-34,classification_train,3,3,61,i-8,Versicolor,Setosa,False,0.2403872002614662,na,na
id-34,classification_train,3,3,62,i-11,Versicolor,Versicolor,True,0.4576015144120902,na,na
id-34,classification_train,3,3,63,i-6,Setosa,Setosa,True,0.2574903428321704,na,na
id-34,classification_train,3,4,64,i-14,Versicolor,Versicolor,True,0.19601225736550987,na,na
id-34,classification_train,3,4,65,i-2,Setosa,Setosa,True,0.22223557508550584,na,na
id-34,classification_train,3,4,66,i-8,Versicolor,Versicolor,True,0.832997964695096,na,na
id-34,classification_train,3,4,67,i-13,Versicolor,Versicolor,True,0.5006184292724356,na,na
id-34,classification_train,3,4,68,i-9,Versicolor,Versicolor,True,0.19262380828149614,na,na
id-34,classification_train,3,4,69,i-3,Setosa,Setosa,True,0.27087794430553913,na,na
id-34,classification_train,3,4,70,i-10,Versicolor,Versicolor,True,0.00024697440676391125,na,na
id-34,classification_train,3,4,71,i-7,Setosa,Setosa,True,0.3279899462359026,na,na
id-34,classification_test_gen,3,0,0,i-3,Setosa,Versicolor,gen,0.7352480801055208,na,na
id-34,classification_test_gen,3,0,1,i-13,Versicolor,Versicolor,gen,0.6119830256793648,na,na
id-34,classification_test_gen,3,0,2,i-12,Versicolor,Versicolor,gen,0.4035346473101527,na,na
id-34,classification_test_gen,3,0,3,g-0,gen,Setosa,gen,2.153784270165488,na,na
id-34,classification_test_gen,3,0,4,i-2,Setosa,Setosa,gen,0.0001751333475112915,na,na
id-34,classification_test_gen,3,0,5,g-1,gen,Setosa,gen,0.5522715023253113,na,na
id-34,classification_test_gen,3,0,6,i-9,Versicolor,Versicolor,gen,0.00024896080140024424,na,na
id-34,classification_test_gen,3,0,7,i-11,Versicolor,Versicolor,gen,1.7214195001870394,na,na
id-34,classification_test_gen,3,0,8,i-7,Setosa,Setosa,gen,0.00017215381376445293,na,na
id-34,classification_test_gen,3,0,9,i-15,Versicolor,Versicolor,gen,2.265295197255909,na,na
id-34,classification_test_gen,3,0,10,g-10,gen,Setosa,gen,0.7972330258926377,na,na
