ID,Category,Dim1,Dim2
i-0,a,0.9,0.1
i-1,a,0.8,0.2
i-2,a,0.7,0.3
i-3,a,0.6,0.4
i-4,a,0.5,0.5
i-5,a,0.4,0.6
i-6,a,0.30000000000000004,0.7
i-7,a,0.19999999999999996,0.8
i-8,b,0.9,0.7
i-9,b,0.8,0.8
i-10,b,1.0,0.8
i-11,b,0.9,0.9
i-12,b,0.30000000000000004,0.1
i-13,b,0.19999999999999996,0.2
i-14,b,0.19999999999999996,0.0
i-15,b,0.09999999999999998,0.1
g-0,gen,1.0,0.0
g-1,gen,0.09999999999999998,0.9
g-2,gen,0.8,0.4
g-3,gen,0.7,0.5
g-4,gen,0.6,0.6
g-5,gen,0.5,0.7
g-6,gen,0.6,0.2
g-7,gen,0.5,0.3
g-8,gen,0.4,0.4
g-9,gen,0.30000000000000004,0.5
g-10,gen,1.0,0.2
g-11,gen,0.8,0.0
g-12,gen,0.09999999999999998,0.7
g-13,gen,0.30000000000000004,0.9
